iter	Passed	Remaining
0	1	136
1	2	143
2	3	127
3	4	114
4	5	105
5	6	100
6	7	96
7	8	92
8	8	90
9	9	88
10	10	86
11	11	84
12	12	82
13	13	80
14	14	79
15	15	80
16	16	81
17	17	81
18	19	81
19	20	80
20	21	79
21	21	77
22	22	76
23	23	74
24	24	73
25	25	72
26	26	70
27	27	69
28	27	68
29	28	67
30	30	66
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	57
41	40	56
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	51	46
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	59	37
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	69	27
72	70	26
73	71	25
74	72	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	85	11
88	86	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	97	0
